         Octal:            Decimal:       Hexadecimal:        ASC II Character: 
         041                  33                  0x21                   !
         042                  34                  0x22                   "
         043                  35                  0x23                   #
         044                  36                  0x24                   $
         045                  37                  0x25                   %
         046                  38                  0x26                   &
         047                  39                  0x27                   '
         050                  40                  0x28                   (
         051                  41                  0x29                   )
         052                  42                  0x2a                   *
         053                  43                  0x2b                   +
         054                  44                  0x2c                   ,
         055                  45                  0x2d                   -
         056                  46                  0x2e                   .
         057                  47                  0x2f                   /
         060                  48                  0x30                   0
         061                  49                  0x31                   1
         062                  50                  0x32                   2
         063                  51                  0x33                   3
         064                  52                  0x34                   4
         065                  53                  0x35                   5
         066                  54                  0x36                   6
         067                  55                  0x37                   7
         070                  56                  0x38                   8
         071                  57                  0x39                   9
         072                  58                  0x3a                   :
         073                  59                  0x3b                   ;
         074                  60                  0x3c                   <
         075                  61                  0x3d                   =
         076                  62                  0x3e                   >
         077                  63                  0x3f                   ?
         0100                  64                  0x40                   @
         0101                  65                  0x41                   A
         0102                  66                  0x42                   B
         0103                  67                  0x43                   C
         0104                  68                  0x44                   D
         0105                  69                  0x45                   E
         0106                  70                  0x46                   F
         0107                  71                  0x47                   G
         0110                  72                  0x48                   H
         0111                  73                  0x49                   I
         0112                  74                  0x4a                   J
         0113                  75                  0x4b                   K
         0114                  76                  0x4c                   L
         0115                  77                  0x4d                   M
         0116                  78                  0x4e                   N
         0117                  79                  0x4f                   O
         0120                  80                  0x50                   P
         0121                  81                  0x51                   Q
         0122                  82                  0x52                   R
         0123                  83                  0x53                   S
         0124                  84                  0x54                   T
         0125                  85                  0x55                   U
         0126                  86                  0x56                   V
         0127                  87                  0x57                   W
         0130                  88                  0x58                   X
         0131                  89                  0x59                   Y
         0132                  90                  0x5a                   Z
         0133                  91                  0x5b                   [
         0134                  92                  0x5c                   \
         0135                  93                  0x5d                   ]
         0136                  94                  0x5e                   ^
         0137                  95                  0x5f                   _
         0140                  96                  0x60                   `
         0141                  97                  0x61                   a
         0142                  98                  0x62                   b
         0143                  99                  0x63                   c
         0144                 100                  0x64                   d
         0145                 101                  0x65                   e
         0146                 102                  0x66                   f
         0147                 103                  0x67                   g
         0150                 104                  0x68                   h
         0151                 105                  0x69                   i
         0152                 106                  0x6a                   j
         0153                 107                  0x6b                   k
         0154                 108                  0x6c                   l
         0155                 109                  0x6d                   m
         0156                 110                  0x6e                   n
         0157                 111                  0x6f                   o
         0160                 112                  0x70                   p
         0161                 113                  0x71                   q
         0162                 114                  0x72                   r
         0163                 115                  0x73                   s
         0164                 116                  0x74                   t
         0165                 117                  0x75                   u
         0166                 118                  0x76                   v
         0167                 119                  0x77                   w
         0170                 120                  0x78                   x
         0171                 121                  0x79                   y
         0172                 122                  0x7a                   z
         0173                 123                  0x7b                   {
         0174                 124                  0x7c                   |
         0175                 125                  0x7d                   }
         0176                 126                  0x7e                   ~

File Name: file.txt 
